Lux,0,15,50,120,300,730
Images,8,7,8,9,6,7
Good,4,6,7,9,6,3
Bad,4,1,1,0,0,0
Expected,10,10,10,10,10,10
Found,4,4,6,5,4,6
Found / expected,0.4,0.4,0.6,0.5,0.4,0.6
Percentage good images,0.5,0.857142857142857,0.875,1,1,0.428571428571429
