Lux,0,15,50,120,300,730
Images,13,12,18,14,10,11
Good,4,7,15,14,9,10
Bad,9,5,3,0,1,1
Expected,10,10,10,10,10,10
Found,4,7,8,9,6,8
Found / expected,0.4,0.7,0.8,0.9,0.6,0.8
Percentage good images,0.307692307692308,0.583333333333333,0.833333333333333,1,0.9,0.909090909090909
