Lux,0,15,50,120,300,730
Images,9,21,17,15,17,14
Good,4,15,12,14,16,13
Bad,6,6,5,1,1,1
Expected,10,10,10,10,10,10
Found,4,10,10,8,9,9
Found / expected,0.4,1,1,0.8,0.9,0.9
Percentage good images,0.444444444444444,0.714285714285714,0.705882352941176,0.933333333333333,0.941176470588235,0.928571428571429
