Iteration,1,2,3,4,5,6,7,8,9,10,11,12
Images total,6,7,6,6,7,6,6,8,8,8,10,5
Good,5,6,6,6,7,6,6,7,7,8,9,5
Bad,1,1,0,0,0,0,0,1,1,0,1,0
Expected cracks,5,5,5,5,5,5,5,5,5,5,5,5
Cracks found,4,6,5,5,5,4,4,6,5,5,6,4
Found / expected,0.8,1.2,1,1,1,0.8,0.8,1.2,1,1,1.2,0.8
